"Daily Date","Share Code","Year High (GH¢)","Year Low (GH¢)","Previous Closing Price - VWAP (GH¢)","Opening Price (GH¢)","Last Transaction Price (GH¢)","Closing Price - VWAP (GH¢)","Price Change (GH¢)","Closing Bid Price (GH¢)","Closing Offer Price (GH¢)","Total Shares Traded","Total Value Traded (GH¢)"
"22/08/2019","GOIL","3.12","2.00","2.00","2.00","1.99","2.00","0","1.90","1.99","30,700.00","61,393.00"
"21/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","1.99","2.00","600.00","1,200.00"
"20/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","1.99","2.00","200.00","400.00"
"19/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","","2.00","200.00","400.00"
"16/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","1.99","2.00","400.00","800.00"
"15/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","1.99","2.00","1,600.00","3,200.00"
"14/08/2019","GOIL","3.12","2.00","2.00","2.00","1.99","2.00","0","1.99","2.00","800.00","1,596.00"
"13/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","1.99","2.00","200.00","400.00"
"09/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","1.99","2.00","3,400.00","6,800.00"
"08/08/2019","GOIL","3.12","2.00","2.00","2.00","1.99","2.00","0","1.99","2.00","7,100.00","14,188.00"
"07/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","1.90","2.00","200.00","400.00"
"06/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","1.90","2.00","0.00","0.00"
"02/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","1.90","2.00","1,000.00","2,000.00"
"01/08/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","","2.00","49,600.00","99,200.00"
"31/07/2019","GOIL","3.12","2.00","2.00","2.00","2.00","2.00","0","","2.00","2,000.00","4,000.00"
"30/07/2019","GOIL","3.12","2.00","2.02","2.02","2.00","2.00","-0.02","","2.00","2,400.00","4,802.00"
"29/07/2019","GOIL","3.12","2.02","2.05","2.05","2.02","2.02","-0.03","","2.02","50,000.00","101,000.00"
"26/07/2019","GOIL","3.12","2.05","2.18","2.18","2.00","2.05","-0.13","","2.00","1,900.00","3,900.00"
"25/07/2019","GOIL","3.12","2.18","2.20","2.20","2.17","2.18","-0.02","","2.18","1,600.00","3,482.00"
"24/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","","2.20","2,600.00","5,720.00"
"23/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.10","2.20","800.00","1,760.00"
"22/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","","2.20","1,000.00","2,200.00"
"19/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.00","2.20","1,500.00","3,300.00"
"18/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.00","2.20","0.00","0.00"
"17/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.00","2.20","1,000.00","2,200.00"
"16/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","","2.20","200.00","440.00"
"15/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","","","0.00","0.00"
"12/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.20","","1,200.00","2,640.00"
"11/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.20","","300.00","660.00"
"10/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","","2.20","400.00","880.00"
"09/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","","2.20","18,400.00","40,480.00"
"08/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.00","2.20","1,300.00","2,860.00"
"05/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.20","","700.00","1,540.00"
"04/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.20","","0.00","0.00"
"03/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.20","","0.00","0.00"
"02/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","","2.20","3,100.00","6,820.00"
"01/07/2019","GOIL","3.12","2.20","2.20","2.20","2.20","2.20","0","2.10","2.20","0.00","0.00"
